id;point_depart;point_arrive;date_heure;place_dispo;prix;itineraire;user_login;deleted
1;en dehors de accompagner;cadre parce que;2024-11-19T21:59:12;6452;8618.91;../fake-data/blob/hipster.txt;de crainte que;false
2;à moins de;hôte ici;2024-11-20T05:01:52;5394;19639.83;../fake-data/blob/hipster.txt;contre;true
3;au prix de;visiter sans que dehors;2024-11-19T21:26:25;15262;17112.61;../fake-data/blob/hipster.txt;neutre au-dehors;true
4;dresser sauf à voter;noter vu que;2024-11-20T00:07:17;23457;7243.05;../fake-data/blob/hipster.txt;quoique de manière à ce que;false
5;tandis que;abîmer minuscule fonctionnaire;2024-11-19T13:57:18;22732;7392.74;../fake-data/blob/hipster.txt;membre de l’équipe au-dessus de dérouler;true
6;tant déduire;meuh tic-tac;2024-11-20T04:39:00;32420;1970.87;../fake-data/blob/hipster.txt;réclamer;false
7;tellement hôte raconter;fermer au défaut de énergique;2024-11-19T12:18:09;9960;7011.33;../fake-data/blob/hipster.txt;meuh vlan fade;false
8;accélérer;brave chut;2024-11-19T16:06:32;21447;6988.24;../fake-data/blob/hipster.txt;au-dedans de;true
9;à peu près lorsque;sale du moment que;2024-11-20T08:19:21;12378;25458.85;../fake-data/blob/hipster.txt;aujourd'hui;true
10;juger au cas où puisque;fonctionnaire à moins de à l'encontre de;2024-11-20T01:17:02;5547;21796.53;../fake-data/blob/hipster.txt;composer;true
